c:\users\elfim\server5342\ospanel\modules\database\MariaDB-10.4\bin\mysqld.exe, Version: 10.4.26-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
		   164 Close stmt	
230622 22:20:55	   164 Quit	
230622 22:28:50	   165 Connect	root@localhost as anonymous on 
		   165 Query	SELECT @@version, @@version_comment
		   165 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		   165 Query	SET lc_messages = 'ru_RU'
		   166 Connect	root@localhost as anonymous on 
		   166 Query	SHOW TABLES FROM `phpmyadmin`
		   166 Query	SHOW TABLES FROM `mydatabase`
		   165 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		   166 Query	SHOW TABLES FROM `phpmyadmin`
		   166 Query	SHOW TABLES FROM `mydatabase`
		   165 Query	SHOW TABLES FROM `mydatabase`
		   165 Query	SELECT 1 FROM mysql.user LIMIT 1
		   165 Query	SELECT CURRENT_USER()
		   165 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		   165 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		   165 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		   166 Quit	
		   165 Quit	
230622 22:32:48	   167 Connect	root@localhost as anonymous on mydatabase
		   167 Query	use `mydatabase`
		   167 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   167 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   167 Close stmt	
		   167 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   167 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   167 Close stmt	
		   167 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   167 Close stmt	
		   167 Quit	
230622 22:32:56	   168 Connect	root@localhost as anonymous on mydatabase
		   168 Query	use `mydatabase`
		   168 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   168 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   168 Close stmt	
		   168 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   168 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   168 Close stmt	
		   168 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   168 Close stmt	
230622 22:32:57	   168 Quit	
230622 22:33:19	   169 Connect	root@localhost as anonymous on mydatabase
		   169 Query	use `mydatabase`
		   169 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   169 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   169 Close stmt	
		   169 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   169 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   169 Close stmt	
		   169 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   169 Close stmt	
230622 22:33:20	   169 Quit	
230622 22:35:00	   170 Connect	root@localhost as anonymous on mydatabase
		   170 Query	use `mydatabase`
		   170 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   170 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   170 Close stmt	
		   170 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   170 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   170 Close stmt	
		   170 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   170 Close stmt	
		   170 Quit	
230622 22:41:35	   171 Connect	root@localhost as anonymous on mydatabase
		   171 Query	use `mydatabase`
		   171 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   171 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   171 Close stmt	
		   171 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   171 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   171 Close stmt	
		   171 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   171 Close stmt	
230622 22:41:36	   171 Quit	
230622 22:41:39	   172 Connect	root@localhost as anonymous on mydatabase
		   172 Query	use `mydatabase`
		   172 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   172 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   172 Close stmt	
		   172 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   172 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   172 Close stmt	
		   172 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   172 Close stmt	
		   172 Quit	
230622 22:47:13	   173 Connect	root@localhost as anonymous on 
		   173 Query	SELECT @@version, @@version_comment
		   173 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		   173 Query	SET lc_messages = 'ru_RU'
		   174 Connect	root@localhost as anonymous on 
		   174 Query	SHOW TABLES FROM `phpmyadmin`
		   174 Query	SHOW TABLES FROM `mydatabase`
		   173 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		   174 Query	SHOW TABLES FROM `phpmyadmin`
		   174 Query	SHOW TABLES FROM `mydatabase`
		   173 Query	SHOW TABLES FROM `mydatabase`
		   173 Query	SELECT 1 FROM mysql.user LIMIT 1
		   173 Query	SELECT CURRENT_USER()
		   173 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		   173 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		   173 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		   174 Quit	
		   173 Quit	
230622 22:51:56	   175 Connect	root@localhost as anonymous on mydatabase
		   175 Query	use `mydatabase`
		   175 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   175 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   175 Close stmt	
		   175 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   175 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   175 Close stmt	
		   175 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   175 Close stmt	
		   175 Quit	
230622 23:03:50	   176 Connect	root@localhost as anonymous on mydatabase
		   176 Query	use `mydatabase`
		   176 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   176 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   176 Close stmt	
		   176 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   176 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   176 Close stmt	
		   176 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   176 Close stmt	
		   176 Quit	
230622 23:05:18	   177 Connect	root@localhost as anonymous on 
		   177 Query	SELECT @@version, @@version_comment
		   177 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		   177 Query	SET lc_messages = 'ru_RU'
		   178 Connect	root@localhost as anonymous on 
		   178 Query	SHOW TABLES FROM `phpmyadmin`
		   178 Query	SHOW TABLES FROM `mydatabase`
		   177 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		   178 Query	SHOW TABLES FROM `phpmyadmin`
		   178 Query	SHOW TABLES FROM `mydatabase`
		   177 Query	SHOW TABLES FROM `mydatabase`
		   177 Query	SELECT 1 FROM mysql.user LIMIT 1
		   177 Query	SELECT CURRENT_USER()
		   177 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		   177 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		   177 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		   178 Quit	
		   177 Quit	
230622 23:06:04	   179 Connect	root@localhost as anonymous on mydatabase
		   179 Query	use `mydatabase`
		   179 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   179 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   179 Close stmt	
		   179 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   179 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   179 Close stmt	
		   179 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   179 Close stmt	
230622 23:06:05	   179 Quit	
230622 23:13:21	   180 Connect	root@localhost as anonymous on mydatabase
		   180 Query	use `mydatabase`
		   180 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   180 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   180 Close stmt	
		   180 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   180 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   180 Close stmt	
		   180 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   180 Close stmt	
		   180 Quit	
230622 23:13:25	   181 Connect	root@localhost as anonymous on mydatabase
		   181 Query	use `mydatabase`
		   181 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   181 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   181 Close stmt	
		   181 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   181 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   181 Close stmt	
		   181 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   181 Close stmt	
		   181 Quit	
230622 23:18:14	   182 Connect	root@localhost as anonymous on mydatabase
		   182 Query	use `mydatabase`
		   182 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   182 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   182 Close stmt	
		   182 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   182 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   182 Close stmt	
		   182 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   182 Close stmt	
		   182 Quit	
230622 23:18:22	   183 Connect	root@localhost as anonymous on mydatabase
		   183 Query	use `mydatabase`
		   183 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   183 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   183 Close stmt	
		   183 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   183 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   183 Close stmt	
		   183 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   183 Close stmt	
		   183 Quit	
230622 23:20:50	   184 Connect	root@localhost as anonymous on mydatabase
		   184 Query	use `mydatabase`
		   184 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   184 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   184 Close stmt	
		   184 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   184 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   184 Close stmt	
		   184 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   184 Close stmt	
230622 23:20:51	   184 Quit	
230622 23:22:41	   185 Connect	root@localhost as anonymous on mydatabase
		   185 Query	use `mydatabase`
		   185 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   185 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   185 Close stmt	
		   185 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   185 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   185 Close stmt	
		   185 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   185 Close stmt	
230622 23:22:42	   185 Quit	
230622 23:23:05	   186 Connect	root@localhost as anonymous on 
		   186 Query	SELECT @@version, @@version_comment
		   186 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		   186 Query	SET lc_messages = 'ru_RU'
		   187 Connect	root@localhost as anonymous on 
		   187 Query	SHOW TABLES FROM `phpmyadmin`
		   187 Query	SHOW TABLES FROM `mydatabase`
		   186 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		   187 Query	SHOW TABLES FROM `phpmyadmin`
		   187 Query	SHOW TABLES FROM `mydatabase`
		   186 Query	SHOW TABLES FROM `mydatabase`
		   186 Query	SELECT 1 FROM mysql.user LIMIT 1
		   186 Query	SELECT CURRENT_USER()
		   186 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		   186 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		   186 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		   187 Quit	
		   186 Quit	
230622 23:28:58	   188 Connect	root@localhost as anonymous on mydatabase
		   188 Query	use `mydatabase`
		   188 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   188 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   188 Close stmt	
		   188 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   188 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   188 Close stmt	
		   188 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   188 Close stmt	
		   188 Quit	
230622 23:34:45	   189 Connect	root@localhost as anonymous on mydatabase
		   189 Query	use `mydatabase`
		   189 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   189 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   189 Close stmt	
		   189 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   189 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   189 Close stmt	
		   189 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   189 Close stmt	
		   189 Quit	
230622 23:40:34	   190 Connect	root@localhost as anonymous on 
		   190 Query	SELECT @@version, @@version_comment
		   190 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		   190 Query	SET lc_messages = 'ru_RU'
		   191 Connect	root@localhost as anonymous on 
		   191 Query	SHOW TABLES FROM `phpmyadmin`
		   191 Query	SHOW TABLES FROM `mydatabase`
		   190 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		   191 Query	SHOW TABLES FROM `phpmyadmin`
		   191 Query	SHOW TABLES FROM `mydatabase`
		   190 Query	SHOW TABLES FROM `mydatabase`
		   190 Query	SELECT 1 FROM mysql.user LIMIT 1
		   190 Query	SELECT CURRENT_USER()
		   190 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		   190 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		   190 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		   191 Quit	
		   190 Quit	
230622 23:40:41	   192 Connect	root@localhost as anonymous on mydatabase
		   192 Query	use `mydatabase`
		   192 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   192 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   192 Close stmt	
		   192 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   192 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   192 Close stmt	
		   192 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   192 Close stmt	
		   192 Quit	
230622 23:42:33	   193 Connect	root@localhost as anonymous on mydatabase
		   193 Query	use `mydatabase`
		   193 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   193 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   193 Close stmt	
		   193 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   193 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   193 Close stmt	
		   193 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   193 Close stmt	
230622 23:42:34	   193 Quit	
230622 23:42:55	   194 Connect	root@localhost as anonymous on mydatabase
		   194 Query	use `mydatabase`
		   194 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   194 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   194 Close stmt	
		   194 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   194 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   194 Close stmt	
		   194 Quit	
230622 23:43:11	   195 Connect	root@localhost as anonymous on mydatabase
		   195 Query	use `mydatabase`
		   195 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   195 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   195 Close stmt	
		   195 Prepare	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   195 Execute	set session sql_mode='ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
		   195 Close stmt	
		   195 Prepare	select count(*) as aggregate from `users` where `email` = ?
		   195 Close stmt	
		   195 Quit	
230622 23:50:20	   196 Connect	root@localhost as anonymous on mydatabase
		   196 Query	use `mydatabase`
		   196 Prepare	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   196 Execute	set names 'utf8mb4' collate 'utf8mb4_unicode_ci'
		   196 Close stmt	
